horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,0.7467128153171304,1.45491162567222,2.1491506615450273,3.1817616792739387,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
2,1.0634696685356388,2.0394558433297036,3.215501493811353,4.503857207792681,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
3,1.3139290442911908,2.489435753992698,4.093990610328638,5.5471546962448866,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
4,1.5240380165098955,2.842802784765737,4.851152860802732,6.368331236772063,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
5,1.708742703524183,3.1378856108379924,5.510559589918837,7.042262891868551,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
6,1.8786298743912409,3.4071626001547193,6.11841520717642,7.6324048169101095,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
7,2.0318605869417548,3.6539496002608174,6.718925672789405,8.190157178276234,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
8,2.176986080569212,3.893542699933889,7.344583511319949,8.808129155161788,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
9,2.3231363045005007,4.1230893518770815,7.9772170012815025,9.450671103238147,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
10,2.4669770427253987,4.345497041685821,8.690038445108929,10.174889800061731,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
11,2.6031491992585516,4.552751786775578,9.43040367364374,10.894775634084624,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
12,2.726292238967498,4.744917430786956,10.194826997009825,11.639781178996309,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
13,2.8437785670700113,4.925667842552328,10.963099102947458,12.367913943851313,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
14,2.9556471556696633,5.094854492410556,11.70771892353695,13.049350675579621,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
15,3.0540634606306916,5.245065796652052,12.35070909867578,13.63500838945234,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
16,3.1400034539530495,5.378464497890301,12.963293464331482,14.179140407042109,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
17,3.2155274761965065,5.49506651514326,13.469758650149508,14.627239257627252,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
18,3.2812671402420066,5.597779407948872,13.909006834686032,14.997236479733438,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
19,3.3390705412344417,5.689676934728798,14.26989534387014,15.331209054062771,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
20,3.3937626213201,5.775299930179817,14.61971166168304,15.652630772027862,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
21,3.453880746514386,5.867569214822919,15.03869927381461,16.02398025352359,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
22,3.516880389605904,5.963218918920124,15.451031610422895,16.388579684108276,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
23,3.577566287115604,6.054783686574582,15.865187953865869,16.751426786414537,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
24,3.624864317211049,6.133304772036839,16.22339384878257,17.087424396665142,2.5816764888456505,4.496089755830568,10.130261312145945,11.39688819494872
