horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,0.76642203,1.451426,2.3374298,3.371623,2.2574816,4.031633,13.236435,13.996699
2,1.0696301,2.0090318,3.6938367,4.916417,2.2574816,4.031633,13.236435,13.996699
3,1.3094841,2.4257035,4.889842,6.1808825,2.2574816,4.031633,13.236435,13.996699
4,1.5071957,2.7484758,6.1028886,7.346584,2.2574816,4.031633,13.236435,13.996699
5,1.6723359,3.012387,7.110225,8.302546,2.2574816,4.031633,13.236435,13.996699
6,1.8206904,3.2461483,8.214516,9.289851,2.2574816,4.031633,13.236435,13.996699
7,1.9576734,3.4625483,9.437425,10.390143,2.2574816,4.031633,13.236435,13.996699
8,2.0769682,3.6690214,10.70374,11.543131,2.2574816,4.031633,13.236435,13.996699
9,2.2008934,3.8704412,12.010369,12.745574,2.2574816,4.031633,13.236435,13.996699
10,2.3051543,4.0394993,12.89575,13.592188,2.2574816,4.031633,13.236435,13.996699
11,2.3932161,4.2140894,14.102467,14.735684,2.2574816,4.031633,13.236435,13.996699
12,2.4696736,4.3433585,14.873171,15.484529,2.2574816,4.031633,13.236435,13.996699
13,2.526654,4.462922,15.692094,16.274555,2.2574816,4.031633,13.236435,13.996699
14,2.5889976,4.5784,16.308252,16.89166,2.2574816,4.031633,13.236435,13.996699
15,2.6435049,4.6698313,16.703545,17.292704,2.2574816,4.031633,13.236435,13.996699
16,2.6726592,4.753004,17.147259,17.72979,2.2574816,4.031633,13.236435,13.996699
17,2.7057,4.814664,17.402298,17.9885,2.2574816,4.031633,13.236435,13.996699
18,2.7198658,4.8704653,17.708624,18.284422,2.2574816,4.031633,13.236435,13.996699
19,2.7481103,4.916511,17.932014,18.498163,2.2574816,4.031633,13.236435,13.996699
20,2.7657347,4.973568,18.179016,18.73198,2.2574816,4.031633,13.236435,13.996699
21,2.788304,5.004705,18.34605,18.882048,2.2574816,4.031633,13.236435,13.996699
22,2.8075206,5.041151,18.492062,19.016533,2.2574816,4.031633,13.236435,13.996699
23,2.8225236,5.076565,18.640219,19.161327,2.2574816,4.031633,13.236435,13.996699
24,2.8406472,5.105267,18.751352,19.269943,2.2574816,4.031633,13.236435,13.996699
