horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,0.7720667,1.4815942,3.0279617,4.0233836,2.2263668,4.035318,13.812842,14.513219
2,1.0698856,2.021184,4.642042,5.741325,2.2263668,4.035318,13.812842,14.513219
3,1.2959809,2.4164429,5.7072735,6.875783,2.2263668,4.035318,13.812842,14.513219
4,1.4846574,2.7294102,7.101596,8.187412,2.2263668,4.035318,13.812842,14.513219
5,1.6456614,2.9912126,8.052508,9.105783,2.2263668,4.035318,13.812842,14.513219
6,1.7964364,3.2395387,9.364316,10.283847,2.2263668,4.035318,13.812842,14.513219
7,1.9178082,3.4355178,10.237978,11.091746,2.2263668,4.035318,13.812842,14.513219
8,2.0399709,3.648628,11.37687,12.1455965,2.2263668,4.035318,13.812842,14.513219
9,2.1516511,3.8508947,12.634624,13.322768,2.2263668,4.035318,13.812842,14.513219
10,2.2548478,4.0241814,13.44901,14.125648,2.2263668,4.035318,13.812842,14.513219
11,2.3444948,4.198945,14.527364,15.153078,2.2263668,4.035318,13.812842,14.513219
12,2.4142027,4.333825,15.38365,15.969663,2.2263668,4.035318,13.812842,14.513219
13,2.4845037,4.478123,16.15615,16.724443,2.2263668,4.035318,13.812842,14.513219
14,2.5369995,4.5679374,16.634552,17.18326,2.2263668,4.035318,13.812842,14.513219
15,2.5914147,4.670215,17.092138,17.637798,2.2263668,4.035318,13.812842,14.513219
16,2.6297343,4.758742,17.523407,18.06106,2.2263668,4.035318,13.812842,14.513219
17,2.6625357,4.8271055,17.813768,18.351656,2.2263668,4.035318,13.812842,14.513219
18,2.685342,4.872619,18.015642,18.550623,2.2263668,4.035318,13.812842,14.513219
19,2.713471,4.9391055,18.329554,18.850792,2.2263668,4.035318,13.812842,14.513219
20,2.7378483,4.991375,18.590393,19.098532,2.2263668,4.035318,13.812842,14.513219
21,2.768395,5.0336857,18.700966,19.205742,2.2263668,4.035318,13.812842,14.513219
22,2.7926705,5.073406,18.89281,19.387455,2.2263668,4.035318,13.812842,14.513219
23,2.8140335,5.118657,19.06439,19.55763,2.2263668,4.035318,13.812842,14.513219
24,2.8281915,5.145274,19.189243,19.682236,2.2263668,4.035318,13.812842,14.513219
